2018-04-02 21:11:01,06p,bangai001,rebel,win,kaze001,lord,lose,kaze003,rebel,win,snow007,renegade,lose,wind010,loyalist,lose,shin015,rebel,win
2018-04-02 21:29:54,06p,yuki018,lord,lose,tsuki010,renegade,lose,yuki003,loyalist,lose,bloom038,rebel,win,sp015,rebel,win,tsuki012,rebel,win
2018-04-02 22:11:32,06p,wind001,lord,lose,wind038,rebel,win,wind044,loyalist,lose,snow027,renegade,lose,kaze008,rebel,win,luna015,rebel,win
2018-04-02 22:18:03,06p,bloom054,rebel,win,luna039,lord,lose,yuki017,rebel,win,sp005,rebel,win,shin004,loyalist,lose,snow045,renegade,lose
2018-04-02 22:30:56,06p,bloom001,lord,win,kami012,loyalist,win,sp019,renegade,lose,tsuki006,rebel,lose,wind048,rebel,lose,tsuki017,rebel,lose
2018-04-02 23:04:40,06p,bloom006,rebel,win,kami009,loyalist,lose,snow027,rebel,win,snow050,renegade,lose,wind001,lord,lose,hana010,rebel,win
2018-04-03 23:37:53,06p,bangai001,renegade,win,shin006,rebel,lose,kami010,rebel,lose,wind007,loyalist,lose,bloom002,lord,lose,kami007,rebel,lose
2018-04-03 23:56:13,06p,shin003,lord,win,snow048,loyalist,win,wind046,rebel,lose,wind047,renegade,lose,bloom059,rebel,lose,kaze016,rebel,lose
2018-04-04 21:08:31,06p,snow045,loyalist,lose,bangai002,rebel,win,hana003,rebel,win,tsuki018,lord,lose,bloom036,renegade,lose,kami012,rebel,win
2018-04-04 21:39:39,06p,bloom015,renegade,win,kami002,rebel,lose,bloom057,rebel,lose,bloom042,loyalist,lose,tsuki018,lord,lose,bloom040,rebel,lose
2018-04-04 22:37:11,06p,wind011,lord,surrender,bangai004,renegade,surrender,bangai001,rebel,surrender,tsuki014,rebel,surrender,luna020,rebel,surrender,kaze012,loyalist,surrender
2018-04-04 22:59:37,08p,wind052,lord,win,tsuki014,rebel,lose,snow018,loyalist,win,shin011,rebel,lose,hana014,loyalist,win,luna031,rebel,lose,bangai005,rebel,lose,kaze015,renegade,lose
2018-04-04 23:44:39,08p,luna014,lord,win,luna059,loyalist,win,yuki007,rebel,lose,tsuki012,rebel,lose,snow007,rebel,lose,sp016,renegade,lose,luna004,loyalist,win,bloom022,rebel,lose
2018-04-05 00:04:13,08p,wind007,loyalist,win,bloom051,rebel,lose,wind009,renegade,lose,bangai001,rebel,lose,wind026,rebel,lose,bloom031,loyalist,win,hana014,lord,win,kami010,rebel,lose
2018-04-05 00:27:22,06p,kaze001,rebel,win,yuki008,rebel,win,snow021,loyalist,lose,kaze008,rebel,win,hana018,lord,lose,snow030,renegade,lose
2018-04-05 00:44:33,06p,shin016,lord,lose,yuki003,renegade,lose,bloom020,rebel,win,tsuki008,rebel,win,bloom025,rebel,win,tsuki016,loyalist,lose
2018-04-05 11:55:49,08p,sp015,loyalist,win,bloom007,rebel,lose,sp011,loyalist,win,snow001,lord,win,tsuki013,rebel,lose,sp009,renegade,lose,luna051,rebel,lose,bangai002,rebel,lose
2018-04-05 20:33:23,06p,shin005,rebel,win,luna012,renegade,lose,kaze013,rebel,win,kami011,loyalist,lose,wind012,lord,lose,sp013,rebel,win
2018-04-05 21:01:39,06p,tsuki007,renegade,surrender,hana003,rebel,surrender,luna062,rebel,surrender,luna018,loyalist,surrender,luna053,rebel,surrender,bangai007,lord,surrender
2018-04-05 21:28:26,06p,snow036,lord,win,luna046,renegade,lose,bloom044,rebel,lose,sp003,loyalist,win,yuki017,rebel,lose,hana015,rebel,lose
2018-04-05 22:00:32,06p,wind001,lord,win,tsuki009,rebel,lose,yuki001,rebel,lose,yuki007,loyalist,win,bloom059,renegade,lose,bloom015,rebel,lose
2018-04-05 22:09:20,06p,bloom041,rebel,win,sp017,rebel,win,luna003,renegade,lose,sp013,loyalist,lose,bloom061,lord,lose,bloom018,rebel,win
2018-04-05 22:31:30,06p,snow059,rebel,win,kami001,rebel,win,wind059,rebel,win,kaze018,loyalist,lose,tsuki016,renegade,lose,wind014,lord,lose
2018-04-05 22:54:06,06p,sp014,loyalist,win,bloom001,renegade,lose,luna057,rebel,lose,sp003,rebel,lose,hana018,lord,win,tsuki013,rebel,lose
2018-04-05 23:22:04,06p,hana011,rebel,win,sp016,rebel,win,kaze018,lord,lose,shin011,renegade,lose,wind030,loyalist,lose,sp014,rebel,win
2018-04-05 23:44:58,06p,tsuki018,lord,lose,luna027,loyalist,lose,bloom020,renegade,lose,sp014,rebel,win,tsuki005,rebel,win,yuki003,rebel,win
2018-04-06 21:23:47,06p,kaze018,lord,lose,kami002,rebel,win,snow062,rebel,win,bangai010,renegade,lose,tsuki015,loyalist,lose,yuki014,rebel,win
2018-04-06 21:43:05,06p,luna060,loyalist,win,hana001,lord,win,tsuki015,rebel,lose,yuki016,rebel,lose,kaze008,renegade,lose,hana016,rebel,lose
2018-04-06 22:35:07,06p,sp014,rebel,win,bloom001,lord,lose,sp005,rebel,win,wind023,rebel,win,bloom052,loyalist,lose,kami004,renegade,lose
2018-04-06 22:47:44,06p,wind005,rebel,win,wind015,rebel,win,snow045,renegade,lose,hana001,lord,lose,wind058,rebel,win,luna022,loyalist,lose
2018-04-06 23:01:23,06p,luna001,loyalist,surrender,luna051,rebel,surrender,luna061,rebel,surrender,tsuki018,lord,surrender,shin003,renegade,surrender,sp008,rebel,surrender
2018-04-06 23:31:55,06p,sp013,rebel,surrender,tsuki002,renegade,surrender,kaze008,loyalist,surrender,wind014,lord,surrender,bangai012,rebel,surrender,snow058,rebel,surrender
2018-04-08 22:53:36,06p,yuki008,lord,win,shin012,renegade,lose,shin008,rebel,lose,luna002,rebel,lose,yuki007,rebel,lose,bloom030,loyalist,win
2018-04-08 22:58:52,06p,bloom031,rebel,surrender,luna053,rebel,surrender,hana010,loyalist,surrender,kami013,renegade,surrender,yuki010,rebel,surrender,wind014,lord,surrender
2018-04-08 23:19:10,06p,wind014,lord,lose,kami001,rebel,win,wind047,loyalist,lose,kami008,rebel,win,shin002,renegade,lose,luna037,rebel,win
2018-04-09 20:32:15,06p,yuki018,rebel,win,wind015,rebel,win,luna009,lord,lose,shin007,renegade,lose,kami011,loyalist,lose,yuki006,rebel,win
2018-04-09 20:42:51,06p,kaze016,rebel,win,wind028,rebel,win,kaze018,lord,lose,shin003,rebel,win,sp019,loyalist,lose,snow059,renegade,lose
2018-04-09 21:01:56,06p,kaze018,lord,surrender,kami003,rebel,surrender,kami010,rebel,surrender,bloom041,renegade,surrender,bloom006,loyalist,surrender,kaze016,rebel,surrender
2018-04-09 21:45:05,06p,wind039,renegade,win,luna020,rebel,lose,sp009,lord,lose,wind007,loyalist,lose,luna044,rebel,lose,bloom051,rebel,lose
2018-04-09 21:59:50,06p,sp014,rebel,win,tsuki002,rebel,win,wind001,lord,lose,bloom018,renegade,lose,tsuki018,rebel,win,kaze015,loyalist,lose
2018-04-09 22:25:24,06p,bloom046,lord,lose,yuki008,rebel,win,snow039,rebel,win,tsuki006,rebel,win,kaze001,loyalist,lose,wind012,renegade,lose
2018-04-09 22:42:07,06p,kaze018,lord,lose,wind046,loyalist,lose,snow015,renegade,lose,hana013,rebel,win,shin012,rebel,win,yuki014,rebel,win
2018-04-09 22:58:57,06p,hana007,rebel,win,kami013,loyalist,lose,luna060,renegade,lose,wind054,rebel,win,bloom006,rebel,win,luna049,lord,lose
2018-04-09 23:27:32,06p,snow007,rebel,win,yuki018,rebel,win,wind023,renegade,lose,bangai005,loyalist,lose,kaze001,lord,lose,kaze008,rebel,win
2018-04-10 20:53:04,06p,bloom042,rebel,win,wind001,lord,lose,sp014,rebel,win,kami008,rebel,win,shin004,renegade,lose,luna027,loyalist,lose
2018-04-10 21:00:04,06p,wind060,lord,lose,kaze008,rebel,win,luna008,renegade,lose,wind055,loyalist,lose,yuki018,rebel,win,snow034,rebel,win
2018-04-10 21:18:47,06p,tsuki007,loyalist,win,bloom061,rebel,lose,snow003,rebel,lose,wind002,renegade,lose,wind011,rebel,lose,bloom014,lord,win
2018-04-10 21:37:03,06p,wind005,rebel,win,wind039,loyalist,lose,bloom001,lord,lose,snow016,rebel,win,snow059,renegade,lose,hana002,rebel,win
2018-04-10 21:58:06,06p,luna038,lord,win,luna060,rebel,lose,snow061,loyalist,win,wind047,rebel,lose,kaze014,renegade,lose,kaze015,rebel,lose
2018-04-10 22:13:45,08p,wind043,rebel,win,tsuki018,rebel,win,bloom020,loyalist,lose,kaze014,rebel,win,hana010,rebel,win,wind014,lord,lose,wind034,loyalist,lose,yuki018,renegade,lose
2018-04-10 22:38:05,08p,kaze001,lord,win,bloom019,rebel,lose,tsuki017,rebel,lose,sp015,loyalist,win,wind041,renegade,lose,bloom013,loyalist,win,wind047,rebel,lose,sp014,rebel,lose
2018-04-12 22:37:16,06p,shin016,rebel,win,yuki004,renegade,lose,luna032,lord,lose,tsuki012,rebel,win,bangai009,loyalist,lose,sp020,rebel,win
2018-04-12 22:38:32,06p,wind001,lord,win,yuki003,rebel,lose,luna031,renegade,lose,wind050,rebel,lose,wind053,loyalist,win,tsuki002,rebel,lose
2018-04-13 21:18:08,06p,luna007,rebel,win,tsuki018,lord,lose,snow054,rebel,win,kaze002,renegade,lose,kaze008,rebel,win,sp007,loyalist,lose
2018-04-13 21:38:26,06p,wind009,rebel,win,luna003,loyalist,lose,wind027,renegade,lose,wind001,lord,lose,kami008,rebel,win,hana008,rebel,win
2018-04-13 21:55:18,06p,luna003,rebel,win,shin007,lord,lose,tsuki017,renegade,lose,sp011,rebel,win,kaze014,rebel,win,kaze008,loyalist,lose
2018-04-13 22:15:26,06p,snow050,rebel,lose,wind041,renegade,lose,hana013,loyalist,win,snow061,rebel,lose,bloom027,rebel,lose,kaze018,lord,win
2018-04-15 21:26:44,06p,snow013,rebel,win,bloom026,rebel,win,yuki018,lord,lose,snow053,renegade,lose,kami005,loyalist,lose,kaze012,rebel,win
2018-04-15 21:49:53,06p,bloom014,lord,lose,kaze017,rebel,win,sp019,renegade,lose,bloom006,rebel,win,yuki007,loyalist,lose,tsuki006,rebel,win
2018-04-15 22:03:11,06p,bloom013,loyalist,win,hana005,rebel,lose,hana011,rebel,lose,luna008,rebel,lose,shin016,renegade,lose,snow014,lord,win
2018-04-15 22:23:06,06p,snow045,renegade,lose,bloom030,rebel,lose,luna014,lord,win,luna001,loyalist,win,hana015,rebel,lose,kami004,rebel,lose
2018-04-16 23:32:09,06p,luna061,rebel,win,wind001,lord,lose,tsuki016,renegade,lose,snow034,rebel,win,luna001,loyalist,lose,bloom060,rebel,win
2018-04-16 23:53:42,06p,luna022,lord,win,hana007,renegade,lose,kaze006,rebel,lose,kami005,loyalist,win,bloom015,rebel,lose,tsuki005,rebel,lose
2018-04-17 00:32:30,06p,bangai007,renegade,lose,luna002,rebel,lose,snow057,loyalist,win,kaze004,rebel,lose,wind001,lord,win,wind015,rebel,lose
2018-04-17 00:52:43,06p,tsuki016,renegade,lose,luna005,loyalist,win,luna055,rebel,lose,luna032,rebel,lose,snow001,lord,win,kaze007,rebel,lose
2018-04-17 23:49:32,06p,kaze018,renegade,lose,snow027,rebel,lose,sp015,lord,win,luna012,loyalist,win,kami008,rebel,lose,snow062,rebel,lose
2018-04-18 00:14:01,06p,kaze012,rebel,win,shin007,renegade,lose,wind008,rebel,win,bloom021,rebel,win,snow018,loyalist,lose,snow014,lord,lose
2018-04-18 21:17:30,06p,sp017,rebel,win,yuki018,lord,lose,bloom008,loyalist,lose,wind030,renegade,lose,sp009,rebel,win,snow026,rebel,win
2018-04-18 21:50:06,06p,kami015,rebel,win,shin014,renegade,lose,yuki001,lord,lose,bloom054,rebel,win,snow052,rebel,win,snow056,loyalist,lose
2018-04-18 22:01:39,06p,bloom027,lord,lose,kaze008,rebel,win,yuki007,rebel,win,bangai007,renegade,lose,sp007,loyalist,lose,snow050,rebel,win
2018-04-18 22:12:22,06p,yuki007,rebel,lose,snow015,renegade,lose,wind035,rebel,lose,tsuki018,lord,win,kami005,loyalist,win,luna012,rebel,lose
2018-04-20 23:01:18,06p,tsuki018,lord,surrender,bangai001,rebel,surrender,sp008,rebel,surrender,luna030,rebel,surrender,sp019,renegade,surrender,kami001,loyalist,surrender
2018-04-20 23:26:35,06p,luna061,renegade,win,hana010,lord,lose,tsuki015,rebel,lose,wind032,loyalist,lose,kami001,rebel,lose,shin005,rebel,lose
2018-04-20 23:43:33,06p,kaze012,rebel,win,wind014,lord,lose,sp014,renegade,lose,bloom059,loyalist,lose,tsuki013,rebel,win,hana010,rebel,win
2018-04-21 00:05:48,06p,kaze014,lord,win,yuki017,loyalist,win,bangai005,rebel,lose,bloom030,rebel,lose,bloom019,renegade,lose,hana010,rebel,lose
2018-04-21 00:31:35,06p,kaze012,renegade,win,luna055,rebel,lose,luna025,lord,lose,kaze017,rebel,lose,snow034,rebel,lose,wind018,loyalist,lose
2018-04-21 19:47:48,06p,tsuki005,rebel,win,tsuki011,rebel,win,luna047,lord,lose,bangai001,rebel,win,kami011,loyalist,lose,bloom026,renegade,lose
2018-04-21 20:06:47,06p,bangai010,lord,lose,bangai006,rebel,win,snow019,loyalist,lose,tsuki015,renegade,lose,bangai004,rebel,win,wind062,rebel,win
2018-04-21 20:28:53,08p,luna022,lord,win,shin008,rebel,lose,kaze011,renegade,lose,luna049,rebel,lose,wind039,loyalist,win,snow056,rebel,lose,sp015,loyalist,win,snow014,rebel,lose
2018-04-21 20:47:30,08p,yuki018,rebel,win,hana014,renegade,lose,bloom025,rebel,win,hana015,rebel,win,snow017,loyalist,lose,bloom044,loyalist,lose,bloom057,lord,lose,bangai010,rebel,win
2018-04-21 21:12:26,08p,hana001,lord,win,shin016,renegade,lose,hana009,loyalist,win,sp007,rebel,lose,sp012,rebel,lose,luna033,rebel,lose,snow011,rebel,lose,wind014,loyalist,win
2018-04-21 21:59:53,08p,sp019,rebel,win,tsuki010,renegade,lose,bloom044,lord,lose,bloom011,loyalist,lose,kaze015,rebel,win,snow059,rebel,win,kami004,loyalist,lose,snow060,rebel,win
2018-04-22 19:19:54,06p,wind014,lord,win,hana002,rebel,lose,shin013,rebel,lose,sp012,rebel,lose,tsuki001,renegade,lose,wind021,loyalist,win
2018-04-22 19:33:58,06p,luna018,renegade,lose,bloom021,lord,win,shin003,rebel,lose,sp014,rebel,lose,sp002,rebel,lose,bangai012,loyalist,win
2018-04-22 20:09:33,06p,snow048,rebel,lose,snow062,rebel,lose,snow036,loyalist,win,yuki001,lord,win,kaze013,rebel,lose,luna037,renegade,lose
2018-04-22 21:08:42,06p,shin007,renegade,lose,hana013,rebel,lose,snow042,loyalist,win,shin005,rebel,lose,kami015,rebel,lose,kaze008,lord,win
2018-04-22 21:31:25,06p,bloom008,renegade,lose,kami001,loyalist,win,bangai003,rebel,lose,hana011,rebel,lose,shin009,rebel,lose,kaze016,lord,win
2018-04-22 21:58:42,06p,tsuki001,lord,lose,kami012,rebel,win,wind009,rebel,win,wind014,rebel,win,tsuki002,renegade,lose,wind053,loyalist,lose
2018-04-23 20:58:28,06p,hana008,rebel,win,luna022,rebel,win,wind046,lord,lose,hana011,loyalist,lose,wind008,rebel,win,kaze008,renegade,lose
2018-04-23 21:15:47,06p,snow010,rebel,win,snow061,loyalist,lose,kaze014,renegade,lose,bloom023,lord,lose,wind018,rebel,win,wind059,rebel,win
2018-04-23 21:56:56,06p,bloom030,lord,win,bloom051,rebel,lose,snow010,rebel,lose,kaze014,rebel,lose,bloom059,renegade,lose,wind004,loyalist,win
2018-04-23 22:41:36,06p,wind010,renegade,win,yuki001,rebel,lose,sp014,loyalist,lose,tsuki001,lord,lose,kaze008,rebel,lose,yuki003,rebel,lose
2018-04-23 23:01:56,06p,tsuki018,lord,win,hana013,rebel,lose,sp013,renegade,lose,kami003,rebel,lose,shin014,rebel,lose,tsuki008,loyalist,win
2018-04-23 23:16:24,06p,snow037,lord,lose,tsuki008,loyalist,lose,kaze008,rebel,win,bloom061,rebel,win,sp012,rebel,win,wind034,renegade,lose
2018-04-23 23:46:50,06p,bloom015,renegade,lose,wind022,rebel,win,yuki001,lord,lose,snow051,loyalist,lose,snow034,rebel,win,tsuki014,rebel,win
2018-04-24 21:35:01,06p,shin016,rebel,win,snow018,renegade,lose,bloom027,lord,lose,luna012,loyalist,lose,sp014,rebel,win,shin003,rebel,win
2018-04-24 22:38:20,06p,shin012,loyalist,win,snow047,renegade,lose,shin003,rebel,lose,tsuki018,lord,win,sp007,rebel,lose,yuki003,rebel,lose
2018-04-24 22:55:35,06p,bloom001,lord,win,sp005,rebel,lose,luna052,rebel,lose,kaze004,renegade,lose,tsuki004,rebel,lose,luna049,loyalist,win
2018-04-24 23:09:29,06p,wind014,lord,lose,sp012,rebel,win,snow007,rebel,win,wind039,rebel,win,snow033,renegade,lose,kaze003,loyalist,lose
2018-04-24 23:16:31,06p,shin003,rebel,win,wind052,loyalist,lose,yuki006,rebel,win,bloom019,renegade,lose,tsuki001,lord,lose,tsuki006,rebel,win
2018-04-24 23:26:06,06p,luna007,lord,win,bloom056,rebel,lose,wind047,rebel,lose,bloom028,loyalist,win,sp006,renegade,lose,luna052,rebel,lose
2018-04-24 23:50:28,06p,sp008,rebel,win,wind036,rebel,win,sp014,loyalist,lose,yuki006,rebel,win,sp010,renegade,lose,snow001,lord,lose
2018-04-25 00:02:02,06p,kami001,renegade,lose,luna028,rebel,win,bloom006,loyalist,lose,kaze009,rebel,win,bloom030,lord,lose,luna040,rebel,win
2018-04-25 00:19:45,06p,luna050,rebel,win,tsuki001,lord,lose,tsuki010,rebel,win,sp015,loyalist,lose,bangai001,renegade,lose,bangai008,rebel,win
2018-04-25 19:59:11,06p,yuki015,rebel,win,shin007,renegade,lose,sp003,loyalist,lose,sp019,rebel,win,bangai008,rebel,win,yuki018,lord,lose
2018-04-25 21:12:59,06p,luna055,rebel,win,luna023,renegade,lose,wind007,loyalist,lose,bangai004,lord,lose,hana009,rebel,win,wind056,rebel,win
2018-04-25 21:33:20,06p,luna010,rebel,win,kaze005,lord,lose,wind005,rebel,win,shin013,renegade,lose,bloom040,loyalist,lose,wind045,rebel,win
2018-04-25 22:07:42,08p,tsuki007,rebel,win,yuki001,lord,lose,bloom019,renegade,lose,bloom032,rebel,win,snow056,loyalist,lose,hana010,rebel,win,tsuki008,loyalist,lose,kaze012,rebel,win
2018-04-25 22:36:25,06p,tsuki012,rebel,lose,tsuki018,lord,win,yuki018,renegade,lose,tsuki005,loyalist,win,bangai005,rebel,lose,luna010,rebel,lose
2018-04-25 23:13:41,06p,snow035,rebel,lose,wind028,rebel,lose,sp015,renegade,lose,wind019,rebel,lose,luna026,loyalist,win,luna014,lord,win
2018-04-25 23:33:01,06p,wind029,renegade,win,kaze014,rebel,lose,wind047,rebel,lose,wind044,loyalist,lose,bloom001,lord,lose,sp018,rebel,lose
2018-04-25 23:52:42,06p,luna043,rebel,win,luna048,rebel,win,snow028,renegade,lose,kaze008,loyalist,lose,wind057,rebel,win,wind001,lord,lose
2018-04-26 00:06:09,06p,snow004,rebel,win,snow040,renegade,lose,kami012,loyalist,lose,luna059,rebel,win,sp020,rebel,win,kaze001,lord,lose
2018-04-26 20:50:17,06p,tsuki001,lord,lose,kaze017,rebel,win,bloom010,rebel,win,kami010,renegade,lose,bangai004,rebel,win,tsuki006,loyalist,lose
2018-04-26 21:30:07,06p,yuki010,rebel,win,yuki016,rebel,win,kami007,loyalist,lose,snow032,renegade,lose,tsuki001,lord,lose,snow046,rebel,win
2018-04-26 22:15:40,08p,sp014,loyalist,surrender,kaze015,rebel,surrender,sp013,rebel,surrender,snow051,rebel,surrender,kami015,rebel,surrender,tsuki013,loyalist,surrender,snow059,renegade,surrender,luna014,lord,surrender
2018-04-26 22:40:21,08p,snow007,loyalist,win,bloom029,loyalist,win,wind042,rebel,lose,hana011,rebel,lose,bloom032,rebel,lose,bloom001,lord,win,kami012,renegade,lose,kaze010,rebel,lose
2018-04-26 22:59:08,08p,luna025,rebel,win,bloom036,lord,lose,sp015,rebel,win,bloom037,rebel,win,kaze012,renegade,lose,sp017,rebel,win,shin008,loyalist,lose,snow023,loyalist,lose
2018-04-26 23:00:42,08p,bloom024,rebel,surrender,yuki006,rebel,surrender,bloom048,loyalist,surrender,luna061,rebel,surrender,wind009,renegade,surrender,snow032,loyalist,surrender,bangai010,rebel,surrender,snow014,lord,surrender
2018-04-26 23:18:24,08p,luna041,rebel,win,kaze014,loyalist,lose,hana004,rebel,win,sp020,renegade,lose,wind001,lord,lose,bloom049,rebel,win,bangai001,loyalist,lose,bloom010,rebel,win
2018-04-26 23:39:14,08p,luna014,lord,win,bloom047,rebel,lose,bangai007,rebel,lose,snow022,loyalist,win,shin008,rebel,lose,snow043,renegade,lose,luna042,loyalist,win,kaze013,rebel,lose
2018-04-26 23:59:02,06p,wind010,loyalist,win,bloom009,rebel,lose,luna029,renegade,lose,tsuki003,rebel,lose,tsuki018,lord,win,shin014,rebel,lose
2018-04-27 00:17:31,06p,tsuki012,renegade,lose,bloom034,rebel,lose,yuki007,rebel,lose,yuki016,rebel,lose,luna014,lord,win,snow020,loyalist,win
2018-04-27 21:21:45,06p,luna038,lord,win,hana015,rebel,lose,kami014,renegade,lose,yuki017,loyalist,win,luna018,rebel,lose,yuki006,rebel,lose
2018-04-27 21:41:17,08p,bloom055,loyalist,win,shin011,renegade,lose,sp013,rebel,lose,yuki014,lord,win,luna034,rebel,lose,wind057,rebel,lose,snow012,loyalist,win,kami001,rebel,lose
2018-04-27 21:58:49,08p,snow028,rebel,win,tsuki001,rebel,win,bloom014,lord,lose,yuki010,rebel,win,bloom058,rebel,win,bloom007,loyalist,lose,bloom045,renegade,lose,snow038,loyalist,lose
2018-04-27 22:35:35,08p,snow050,rebel,win,snow055,rebel,win,wind001,rebel,win,hana014,rebel,win,luna058,loyalist,lose,bloom013,lord,lose,luna020,loyalist,lose,kami001,renegade,lose
2018-04-27 22:59:30,06p,sp015,rebel,win,kami010,renegade,lose,snow014,lord,lose,shin008,rebel,win,luna061,rebel,win,luna013,loyalist,lose
2018-04-27 23:28:38,06p,tsuki018,lord,win,sp020,rebel,lose,bloom004,rebel,lose,bangai007,loyalist,win,hana003,rebel,lose,wind031,renegade,lose
2018-04-27 23:37:38,06p,kami004,rebel,win,sp011,renegade,lose,sp013,rebel,win,wind015,lord,lose,sp020,loyalist,lose,luna054,rebel,win
2018-04-28 21:36:19,06p,kaze015,rebel,win,yuki002,renegade,lose,snow006,rebel,win,tsuki003,loyalist,lose,sp011,rebel,win,tsuki018,lord,lose
2018-04-28 21:49:47,06p,luna040,rebel,win,kaze001,lord,lose,wind005,renegade,lose,luna022,loyalist,lose,hana008,rebel,win,bloom039,rebel,win
2018-04-28 22:17:43,06p,bloom028,renegade,lose,wind046,rebel,lose,bangai011,rebel,lose,wind020,loyalist,win,snow029,rebel,lose,kaze001,lord,win
2018-04-28 22:56:15,08p,bangai001,rebel,surrender,wind001,lord,surrender,kaze004,rebel,surrender,bloom021,renegade,surrender,sp017,rebel,surrender,kaze003,loyalist,surrender,kaze005,loyalist,surrender,sp015,rebel,surrender
2018-04-28 23:17:09,08p,luna019,rebel,win,bangai010,renegade,lose,kaze018,lord,lose,snow053,loyalist,lose,luna043,rebel,win,bloom053,rebel,win,bloom027,loyalist,lose,wind038,rebel,win
